Cenarios,Av,op1,op2,chance_s_1,chance_d_1,chance_s_2,chance_d_2,sucesso_1,derrota_1,sucesso_2,derrota_2
new elden,Encontra um baú antigo de baixo de uma árvore porém estava trancado ,Abrir o Baú,Levar o baú para sua nave,99%,1%,97%,3%,"Morgan usa sua arma para abrir o baú, nele havia alguns itens antigos","O baú era uma armadilha, Morgan leva um tiro e morre",Morgan leva o baú para sua nave em segurança,No meio do caminho ladrões aparecem das moitas e matam Morgan
new elden,"Morgan caminhava em direção a cidade quando avista 3 ladrões roubando uma mulher, após ela resistir um dos ladrões derruba ela no chão e pega os pertences dela, os três saem correndo ",Correr atras dos ladrões,"Atirar nos ladrões, porém eles estão a uma distancia de cerca de 15 metros",98%,2%,95%,5%,Morgan alcança os bandidos e consegue acabar com eles ,Um dos bandidos avista  Morgan os perseguindo e atira nele ,Morgan consegue abater os três criminosos e recuperar os itens da mulher,Os três bandidos escapam 
new elden,"Durante as suas buscas pelo artefato misterioso acaba encontrando uma nave caida, nela estava um criminoso procurado que estava gravemente ferido que pede por piedade     (DICA: Cuidado com o que você escolhe, muitas vezes as pessoas podem te apunhalar pelas costas quando você menos espera) ",Deixar o criminoso ali pelo restante de sua vida ,levar o criminoso preso e receber sua recompensa ,97%,3%,99%,1%,Morgan deixa o criminoso no local a beira da morte e segue seu caminho,Assim que Morgan se vira para sair da nave é morto pelo criminoso ,Morgan amarra o criminoso e leva até a cidade mais próxima e recebe sua recompensa,O criminoso consegue se soltar da corda e atira em Morgan
new elden,"Ao encontrar uma tribo nativa Morgan com as poucas informações sobre o artefato resolve perguntar para os nativos sobre o artefato misterioso, os nativos contaram uma historia sobre uma rúina que escondia grandes segredos, e que segundo as lendas, nessas ruinas havia uma parte de um item que teria um poder mistico capaz de curar qualquer doença existente ou que podera vir a existir mas as ruínas são protegidas pelos guardiões, são monstros com cerca de 3 metos de altura conhecidos como Trwards",Morgan atraí os Trwards para uma armadilha ,Morgan tenta passar despercebido  pelos guardiões ,95%,5%,98%,2%,Morgan atraí os Trwards para uma armadilha e consegue derrotá-los,A armadilha falha e os Trwards matam Morgan ,Morgan consegue entrar despercebido nas ruinas e encontra o artefato ,Morgan é visto pelos Trwards e morto
new elden,"Entrando em uma caverna escura e sombria, morgan se depara com uma especie de aranha gigante ",Lutar contra a aranha gigante ,Tentar fugir ,99%,1%,99%,1%,Morgan mata a aranha ,A aranha mata Morgan,Morgan consegur fugir,A aranha prende Morgan em sua teia 
new elden,"Apos Morgan levar um Criminoso conhecido e perigoso para a prisão, o bando do Criminoso Jason Piwards conhecido como os Piwards fizeram uma emboscada para Morgan ao sair da delegacia. Com cerca de 20 homens para matar Morgan, o que Morgan deve fazer:",lutar contra os criminosos ,Pegar sua moto e fugir,97,3,99%,1%,"Morgan com sua bravura a habilidade mata os 20 ultimos Piwards, ficando vivo apenas o membro preso Jason Piwards e então acabando com o grupo Piwards e dando um pouco de paz para a pequena cidede de Eldoro ",Morgan acaba sendo cercado e alvejado pelos Piwards ,Morgan acelera sua moto e consegue escapar do cerco dos Piwards ,"Mongan é derrubado da moto, capturado e morto pelos Piwards "
new elden,"Chegando na maior cidade de New Elden THE EDLO, Morgan em sua nave é interceptada por uma nave de criminosos que atiram contra a nave de Morgan",Tentar Revidar,Fugir,99%,1%,99%,1%,"Morgan consegue se evadir da nave inimiga, parando atrás deles e revidando, mas os criminosos conseguem escapar ",Morgan é abatido pelos criminosos ,Morgan consegue despistar a nave dos criminosos ,Morgan não consegue despistar os criminosos e é abatido
new elden,Ao entrar em uma grande caverna Morgan se depera com um grande urso kodiak em seu sono profundo,Matar o urso para vender sua pele,Sair em silêncio da caverna ,100%,0%,98%,2%,Morgan mata o urso com apenas um tiro  ,...,Morgan Consegue sair da caverna sem acordar o grande urso ,Morgan sem perceber acaba pisando em um pequeno osso que acorda o urso e o ataca brutalmente 
new elden,"Morgan encontra um homem desconhecido que oferece uma boa quantia em dinheiro para que ele o escolte ate a cidade vizinha, no meio do trajeto um grupo de ladrões os ataca ",Atacar os ladrões ,Assustar os ladrões ,98%,2%,95%,5%,"Morgan revida os ataques, abatendo o ladrões e terminando assim o trajeto e recebendo o pagamento",Morgan não consegue eliminar os e é morto,"Morgan usando uma função remota consegue controlar sua nave ate o local, fazendo com que os ladrões recuem ","Os ladrões não se intimidam e continuam atacando, Morgan morre"
new elden,"Apos uma tribo de nativos capturar Morgan, Morgan tem a chance de ganhar sua liberdade através de uma luta até a morte contra o guerreiro mais forte da tribo, após Morgan derrubar  o adversário e tê-lo rendido na ponta da lança ele:",Finaliza a luta matando seu adversário e ganhando sua liberdade,Como um ato de piedade deixa o adversário vivo pela sua liberdade ,100%,0%,99%,1%,Mongan é libertado pela tribo após vencer a luta ,...,O guerreiro assume a derrota e liberta Morgan,O guerreiro não aceitando a derrota apunhala Morgan pelas costas
doom,"Ao passar pelas antigas ruínas do planeta vários Devastus começam a rastejar dos escombros e te perseguir (Devastus eram a antiga raça inteligente neste planeta no qual se tornaram inteiramente feitos de lama, por conta do desaparecimento de sua estrela que fornecia calor e uma grande fonte de energia luminosa. Seus corpos são muito flexíveis, com braços alongados e a parte inferior do corpo parece derreter em poças de lama.Seus rostos macabros  ostentam uma boca aberta, duas reentrâncias no lugar dos olhos e sobrancelhas largas e móveis.",Enfrentar os seres rastejantes,Fugir dos Devastos,99%,1%,98%,2%,"Ao passar pelas antigas ruínas do planeta, vários Devastus começam a rastejar dos escombros e perseguir Elon. Ele rapidamente saca sua Magnum de plasma e começa a disparar contra os Devastus, usando sua habilidade de tiro afiado para derrubá-los antes que cheguem muito perto.","Elon Morgan é dominado e capturado pelos Devastus, sendo arrastado para as profundezas das ruínas.","Elon Morgan escapa dos Devastus, encontrando uma saída segura das ruínas antigas.","Elon Morgan é capturado pelos Devastus, sendo arrastado para as profundezas das ruínas."
doom,"Ao explorar as redondezas desoladas do Planeta Doom, Elon Morgan é surpreendido pela presença de monstros famintos que o avistam, sentindo o cheiro de um possível alimento em sua direção. A tensão aumenta enquanto os monstros, com seus olhos famintos e rosnados guturais, começam a se aproximar dele, prontos para atacar a qualquer momento.",Atacar as criaturas com sua arma de plasma,Fugir para o mais longe possível dos monstros ,96%,4%,95%,5%,"Elon Morgan derrota os monstros famintos com sua Magnum de plasma, repelindo o ataque e continuando sua jornada pelas ruínas sombrias do Planeta Doom.","Apesar dos esforços, Elon Morgan é cercado e dominado pelos monstros famintos, sendo ferido gravemente e capturado pelas criaturas.","Elon Morgan escapa dos monstros famintos, encontrando uma rota de fuga segura através das ruínas antigas do Planeta Doom.","Apesar da tentativa desesperada de fuga, Elon Morgan é alcançado pelos monstros famintos e capturado, sendo arrastado de volta para as profundezas das ruínas sombrias do planeta."
doom,"Enquanto Elon Morgan atravessa as paisagens desoladas do Planeta Doom, ele se aproxima de uma imponente ruína, cujos contornos sombrios se destacam contra o céu escuro. Ao se aproximar, ele percebe um movimento agitado no topo da estrutura. Para sua surpresa, um ninho de aves imensas está alojado ali, e elas logo o avistam, interpretando sua presença como uma ameaça iminente aos seus preciosos filhotes. As aves imensas, com suas asas largas e olhos fixos em Elon Morgan, emitem grunhidos ameaçadores enquanto se preparam para proteger sua prole.",Descer bala,Correr para um esconderijo ,98%,2%,97%,3%,"Elon Morgan derrota as aves imensas com sua Magnum de plasma, acertando com precisão seus orgãos vitais, assim os derrotando.","Apesar dos esforços, Elon Morgan é cercado e dominado pelas aves imensas, sendo ferido gravemente e incapaz de continuar sua jornada.",Elon percebe a situação e decide que é mais sensato fugir do que enfrentar as aves enfurecidas. Ele corre o mais rápido que pode para evitar ser atacado pelas aves protetoras.,"Apesar da tentativa desesperada de fuga, Elon Morgan é alcançado pelas aves imensas e capturado, sendo arrastado de volta para o ninho onde enfrentará um destino incerto."
doom,"Conforme Elon Morgan adentra os corredores sombrios de uma estrutura que se assemelha a um palácio, seus passos ecoam pelo ambiente antigo e silencioso. No entanto, o silêncio é quebrado quando um ser misterioso, que depende de sua ecolocalização para se orientar, detecta sua presença. Elon pode sentir a tensão no ar enquanto o ser emite sons agudos, ecoando pelas paredes do palácio e revelando sua localização precisa. Sua habilidade de ecolocalização permite que ele mapeie o ambiente ao seu redor, e seus sentidos aguçados captam a presença de Elon Morgan, interpretando-o como uma intrusão indesejada em seu território escuro e silencioso.",Atirar no ponto vital da criatura ,Rastejar até a saída ,99%,1%,98%,2%,"Elon Morgan enfrenta o ser que vive de ecolocalização com sua Magnum de plasma, derrotando-o e continuando sua exploração pelas ruínas.","Elon Morgan foge do ser que vive de ecolocalização, encontrando uma rota de fuga segura através das ruínas antigas.","Elon percebe que está em desvantagem e decide fugir antes que o ser o localize completamente. Ele recua silenciosamente, usando sua habilidade de movimento furtivo para escapar sem ser detectado.","Apesar da tentativa de fuga, Elon Morgan é capturado pelo ser que vive de ecolocalização, sendo arrastado para as profundezas das ruínas onde enfrentará um destino incerto."
doom,"Ao avançar pelos túneis sinuosos que pontilham o chão desolado do Planeta Doom, Elon Morgan se depara com uma entrada sombria que se estende para dentro das entranhas da terra. Ao adentrar o túnel, ele se vê imerso em um labirinto de corredores escuros e estreitos, cujas paredes úmidas e gotejantes ecoam os sons de sua respiração e passos solitários. No entanto, a quietude é quebrada quando vislumbres de movimento revelam a presença dos habitantes do labirinto: monstros grotescos e sinistros que vagueiam pelos corredores sombrios. Suas formas distorcidas e olhos brilhantes parecem observar cada movimento de Elon, prontos para proteger seu território contra qualquer intruso que se aventure em seu domínio subterrâneo.",Enfrentar as criaturas do labirinto ,Encontrar uma saída na surdina,97%,3%,96%,4%,"Elon Morgan derrota os monstros nos túneis com sua Magnum de plasma, encontrando uma saída no labirinto.","Apesar dos esforços, Elon Morgan é cercado pelos monstros, sofrendo ferimentos graves e incapaz de escapar.","Ao encontrar vários túneis no chão que levam a um labirinto de corredores infestados de monstros, Elon reconhece que está em uma situação perigosa demais para enfrentar diretamente. Ele recua dos túneis e procura uma rota alternativa, evitando os monstros e encontrando uma saída segura do labirinto.","Mesmo tentando fugir, Elon Morgan se perde ainda mais no labirinto, sendo eventualmente capturado pelos monstros."
doom,"Enquanto Elon investiga um antigo baú nas ruínas, ele se depara com o que parece ser um tesouro escondido. Com expectativa, ele abre o baú apenas para descobrir que é na verdade um monstro disfarçado, um guardião ancestral das ruínas.",Atacar essa criatura ,Fugir desta criaturas grotesca ,96%,4%,95%,5%,"Ao se deparar com esse falso baú Elon reage instantaneamente, desferindo golpes rápidos com sua faca enquanto se defende dos ataques do monstro. Com movimentos ágeis e precisos, ele consegue derrotar o monstro e continuar sua busca pelo artefato.","Apesar dos esforços de Elon Morgan, o mímico se mostra mais ágil e astuto. Ele é ferido gravemente durante a batalha e, eventualmente, é capturado pelo mímico, sendo arrastado para o interior das ruínas sombrias de Doom.","Elon Morgan consegue fugir do mímico, correndo com todas as suas forças até alcançar sua nave. Ele entra na nave a tempo e a selha antes que o mímico possa capturá-lo, escapando com segurança da criatura.","Apesar de sua tentativa desesperada de fuga, Elon Morgan é capturado pelo mímico, que o arrasta de volta para o interior das ruínas de Doom, onde ele acaba sendo multilado pela criatura"
doom,"Ao se afastar da nave para procurar o artefato nas ruínas vários monstros grotescos começaram a devorar pedaços de sua nave, arrancando peças valiosas e danificando os sistemas vitais.",Atirar nas criaturas ,Espantar as criaturas de sua nave,99%,1%,98%,2%,"Quando avista monstros comendo pedaços de sua nave, Elon não hesita em confrontá-los diretamente. Ele empunha sua Magnum de plasma e atira com precisão, eliminando os monstros e protegendo sua preciosa nave de ser totalmente devorada.","Apesar dos esforços, os monstros resistem ao ataque de Elon Morgan, causando mais danos à nave impossibilitando sua saída desse planeta","Elon Morgan assusta os monstros com uma estratégia astuta ou um gesto impressionante, fazendo-os recuar e deixar a nave em paz.","Os monstros não se deixam intimidar e continuam a danificar a nave, ignorando os esforços de Elon Morgan para assustá-los."
doom,"Uma tempestade catastrófica se aproxima rapidamente do local das ruínas, ameaçando destruir tudo em seu caminho.",Se esconder da tempestade no meio dos escombros das ruínas,Fugir para uma estrutura ,98%,2%,97%,3%,"Elon corre através das ruínas, saltando sobre escombros e desviando de rachaduras que se abrem no solo. Elon alcança sua nave antes da tempestade atingir as ruínas. Ele entra rapidamente, decola e se afasta a toda velocidade, ele escapa ileso, pronto para planejar seu próximo movimento.","Apesar de seus esforços, uma rajada de lama atinge Elon, derrubando-o ao chão. Antes que ele possa se levantar, uma onda de lama e detritos o cobre, imobilizando-o. A tempestade o engole completamente.","Elon encontra um espaço relativamente seguro. Ele espera pacientemente enquanto a tempestade ruge acima dele. Após várias horas, a tempestade passa, e Elon emerge ileso, pronto para continuar sua missão.","Infelizmente, a estrutura não é tão resistente quanto parecia. Quando a tempestade atinge seu ápice, a pressão e a força da lama e do vento começam a desmoronar a estrutura. O teto cede, e Elon é enterrado sob toneladas de destroços. Ele tenta se proteger, mas é incapaz de evitar ser esmagado e soterrado pela avalanche de lama e pedras."
doom,"Elon encontra um lago completamente encoberto por lama e destroços, porém ao se aproximar dele um amalgamo feito de escombros e a lama do lago surge dando um estrondoso grito.",Atacar esse imenso amalgamo ,Fugir do imenso amalgamo ,95%,5%,95%,5%,"Elon atira nos pontos vulneráveis do corpo da criatura, onde a lama parece menos densa e mais exposta. Os disparos de plasma vaporizam a lama nos pontos críticos, fazendo com que a criatura grite de dor e recue. Aproveitando a fraqueza do monstro, Elon se aproxima e lança uma granada de energia diretamente no núcleo da criatura, causando uma explosão interna que a destrói completamente.
","Com um golpe poderoso, a criatura atinge Elon com uma de suas grandes mãos de lama, arremessando-o contra uma pilha de destroços. O impacto deixa-o atordoado e gravemente ferido.","A criatura tenta segui-lo, mas a sua massa volumosa e lenta não consegue acompanhar a agilidade de Elon. Ele encontra um túnel estreito que a criatura não pode atravessar. A partir de uma posição segura, Elon observa a criatura perder o interesse e voltar para o lago.","A criatura, com um movimento surpreendentemente rápido, lança uma massa de lama na direção de Elon, atingindo-o nas pernas e derrubando-o ao chão. A lama começa a se solidificar, prendendo Elon. Antes que ele possa se libertar, a criatura se aproxima, prestes a capturá-lo, e ele percebe que não conseguirá escapar dessa vez."
doom,"Elon adentra um templo e encontra a relíquia em cima de um pedestal, porém, se tirar o artefato de cima será ativado uma armadilha.",Apenas tirar o artefato de cima do pedestal,Trocar o artefato por um objeto do mesmo peso para não ativar a armadilha ,91%,9%,90%,10%,"Para sua surpresa, nada acontece. Ele aguarda por alguns segundos, pronto para qualquer reação, mas o templo permanece silencioso. Elon guarda a relíquia em sua mochila e sai do templo, aliviado e satisfeito com o sucesso da operação.","Assim que a relíquia é removida, o pedestal desce ligeiramente, acionando um mecanismo oculto. Imediatamente, as paredes do templo começam a se mover, fechando-se em direção ao centro. Elon tenta correr, mas é esmagado pelos blocos de pedra que se encontram rapidamente, sem chance de escapar.",A substituição é bem-sucedida. O pedestal não detecta a diferença e a armadilha permanece inativa. Elon guarda a relíquia com segurança e deixa o templo sem incidentes.,"A diferença mínima de peso é suficiente para ativar a armadilha. Flechas venenosas são disparadas das paredes e uma pedra gigante começa a rolar em direção a Elon. Ele tenta escapar, mas é atingido pelas flechas e, debilitado, não consegue evitar ser esmagado pela pedra."
opala,"
Ao chegar pela primeira vez em Opala, Elon Morgan pousa sua nave espacial MAVERICK em um lugar deserto e aproveita para descansar um pouco. Ao acordar, ele se depara com bandidos tentando arrombar sua nave. Rapidamente, Elon saca sua magnum e caminha em direção à porta.",Abrir a porta e atacar os bandidos,Decolar com a nave,96%,4%,99%,1%,Elon abre a porta e consegue nocautear todos os bandidos,Elon abre a porta e se depara com bandidos fortemente armados e acaba levando um tiro que acaba com sua morte.,Elon decola sua nave com sucesso e os bandidos ficam no chão,"Ao decolar de sua nave, ele percebe que os bandidos danificaram sua nave causando a perda de controle e Elon acaba com sua nave explodida no ar."
opala,"De volta em Opala, Elon Morgan decide procurar pistas no mercado clandestino. Enquanto caminhava por um beco estreito, ele é abordado por três homens empunhando facas que anunciam um assalto.",Reagir ao assalto,deixar os bandidos te roubarem,99%,1%,30%,70%,Elon rapidamente saca sua magnum afugentado os bandidos,Elon na tentativa se puxar sua arma leva uma facada de um dos ladrões e acaba falecendo,"Elon deixa ser assaltado, mas um estranho captura os bandidos e devolve os itens de Elon","Elon deixa os bandidos o roubarem, mas acaba sendo enganado e leva uma facada fatal"
opala,"Elon descobre um antigo laboratório em Opala que contém informações sobre tecnologias antigas, incluindo possíveis pistas sobre o artefato. No entanto, o laboratório está localizado no centro de uma área controlada por uma gangue local.","se infiltrar no laboratório sem chamar a atenção da gangue, evitando confrontos diretos."," enfrentar a gangue para acessar o laboratório, usando suas habilidades de combate e estratégia para superar os membros da gangue.",88%,12%,95%,5%,"Elon passa pelos os bandidos sem ser percebido, mas não consegue nenhuma informação","Elon é pego, e morto pelos bandidos locais","Elon, com suas habilidades de combate incríveis, consegue derrotar toda a gangue, mas não consegue encontrar informações relevantes","Após uma grande luta com cerca de 150 bandidos, Elon acaba sendo ferido após ser atordoado por uma granada de luz."
opala,"Explorando os arredores das cidades reluzentes de Opala, Elon Morgan é atraído por rumores de uma rede de túneis subterrâneos que esconde tesouros e segredos antigos. Intrigado, ele decide investigar, apenas para se encontrar encurralado por uma gangue de contrabandistas que fazem dos túneis seu covil.",Procurar um saída ,Lutar contra os contrabanditas,90%,10,82%,18%,Elon descobre uma rota de fuga e consegue escapar com segurança.,Elon não descobre uma rota de fuga e acaba morto pelos contrabandistas,"Elon enfrenta os contrabandistas em combate, brandindo sua faca com destreza, e sai vitorioso da batalha.",Elon é amarrado e abandonado no túnel para enfrentar seu destino sombrio.
opala,"Determinado a desvendar os segredos escondidos dentro do imponente Palácio de Vidro, Elon Morgan planeja uma audaciosa invasão ao prédio, onde se acredita que uma das partes do artefato está guardada.","Optar por uma abordagem furtiva, evitando os sistemas de segurança enquanto se move pelo prédio.","adotar uma abordagem ousada, empunhando sua magnum enquanto avança para enfrentar os cyberseguranças (Soldados robóticos de quadrúpedes armados com um canhão de plasma.) do Palácio de Vidro",70%,30%,99%,1%,"Elon adentra furtivamente o Palácio de Vidro, explorando seus corredores com cuidado em busca do artefato, porém, mesmo após uma busca meticulosa, não encontra nenhum indício dele.",Elon é capturado pelos cyberseguranças e acaba sendo alvejado.,"Elon avança com bravura e elimina todos os cyberseguranças, porém, não encontra o artefato.","Durante o confronto, Elon acaba sofrendo ferimentos fatais."
opala,"Elon é confrontado por uma gangue de rua, cujo líder desafia-o para um duelo estilo velho oeste, intimidando-o com sua presença imponente.",Aceitar o duelo ,Recusar o duelo e sair como um covarde,99%,1%,10%,90%,"Com astúcia e habilidade, Elon encerra o duelo como vencedor antes mesmo do adversário sacar sua arma.",Elon é levado para uma armadilha e é morto covardemente.,"Elon foge do duelo, com sua reputação destruída.","Os criminosos não aceitam um ""não"" como resposta e acabam tirando a vida de Elon."
opala,"Elon decide invadir a sede do governo de Opala em busca de pistas sobre a história do planeta, na esperança de entender mais sobre o artefato.","Entrar sorrateiramente, passando despercebido pelos cyberseguranças.",desistir dessa aventura devido ao alto risco envolvido.,95%,5%,1%,99%,Elon entra na sede do governo e consegue obter informações valiosas sobre a localização do artefato.,Elon é capturado pelos cyberseguranças do governo e acaba sendo alvejado.,"Elon, desistindo da aventura, encontra um mendigo que compartilha a história da cidade, revelando a existência de um artefato místico.","Elon, saindo do prédio do governo, é atropelado por meliantes que estavam disputando uma corrida ilegal."
